index,temple_count,daoist_count,mosque_count,church_count,catholic_count,academy_count,total_count,prop_temple_count,prop_daoist_count,prop_mosque_count,prop_church_count,prop_catholic_count,prop_academy_count,shannon_entropy
三明市,0,0,0,0,0,369,369,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
东莞市,0,0,0,0,0,13,13,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
中山市,0,0,0,0,0,23,23,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
临夏回族自治州,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
云浮市,0,0,0,0,0,16,16,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
亳州市,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
佛山市,0,0,0,0,0,80,80,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
六安市,0,0,0,0,0,63,63,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
兰州市,0,0,0,0,0,40,40,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
北海市,0,0,0,0,0,50,50,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
南宁市,0,0,0,0,0,235,235,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
南平市,0,0,0,0,0,720,720,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
厦门市,0,0,0,0,0,14,14,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
合肥市,0,0,0,0,0,48,48,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
地级市名称,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天水市,0,0,0,0,0,28,28,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
宁德市,0,0,0,0,0,245,245,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
安庆市,0,0,0,0,0,224,224,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
安顺市,0,0,0,0,0,44,44,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
定西市,0,0,0,0,0,91,91,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
宣城市,0,0,0,0,0,539,539,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
宿州市,0,0,0,0,0,70,70,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
崇左市,0,0,0,0,0,245,245,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
平凉市,0,0,0,0,0,70,70,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
广州市,0,0,0,0,0,79,79,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
庆阳市,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
张掖市,0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
惠州市,0,0,0,0,0,57,57,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
揭阳市,0,0,0,0,0,36,36,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
来宾市,0,0,0,0,0,18,18,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
柳州市,0,0,0,0,0,70,70,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
桂林市,0,0,0,0,0,682,682,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
梅州市,0,0,0,0,0,280,280,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
梧州市,0,0,0,0,0,175,175,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
武威市,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
毕节市,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
汕头市,0,0,0,0,0,34,34,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
汕尾市,0,0,0,0,0,24,24,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
江门市,0,0,0,0,0,165,165,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
池州市,0,0,0,0,0,104,104,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
河池市,0,0,0,0,0,80,80,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
河源市,0,0,0,0,0,80,80,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
泉州市,0,0,0,0,0,189,189,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
淮南市,0,0,0,0,0,12,12,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
深圳市,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
清远市,0,0,0,0,0,180,180,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
湛江市,0,0,0,0,0,115,115,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
滁州市,0,0,0,0,0,144,144,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
漳州市,0,0,0,0,0,459,459,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
潮州市,0,0,0,0,0,56,56,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
玉林市,0,0,0,0,0,190,190,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
甘南藏族自治州,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
白银市,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
百色市,0,0,0,0,0,126,126,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
福州市,0,0,0,0,0,424,424,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
肇庆市,0,0,0,0,0,294,294,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
芜湖市,0,0,0,0,0,72,72,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
茂名市,0,0,0,0,0,168,168,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
莆田市,0,0,0,0,0,38,38,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
蚌埠市,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
贵港市,0,0,0,0,0,39,39,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
贺州市,0,0,0,0,0,24,24,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
酒泉市,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
金昌市,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
钦州市,0,0,0,0,0,84,84,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
铜陵市,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
阜阳市,0,0,0,0,0,27,27,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
防城港市,0,0,0,0,0,14,14,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
阳江市,0,0,0,0,0,14,14,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
陇南市,0,0,0,0,0,70,70,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
韶关市,0,0,0,0,0,304,304,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
马鞍山市,0,0,0,0,0,36,36,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
黄山市,0,0,0,0,0,250,250,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
龙岩市,0,0,0,0,0,300,300,0.0,0.0,0.0,0.0,0.0,1.0,-0.0
