Province,City,Region,Proacade,Citacade,Regacade
省份名称,地级市名称,区县名称,省份书院数量,地级市书院数量,区县书院数量
安徽省,安庆市,怀宁县,317,32,3
安徽省,安庆市,潜山市,317,32,8
安徽省,安庆市,宿松县,317,32,2
安徽省,安庆市,太湖县,317,32,4
安徽省,安庆市,桐城市,317,32,8
安徽省,安庆市,望江县,317,32,2
安徽省,安庆市,市区,317,32,5
安徽省,蚌埠市,怀远县,317,5,4
安徽省,蚌埠市,五河县,317,5,1
安徽省,亳州市,蒙城县,317,5,2
安徽省,亳州市,涡阳县,317,5,1
安徽省,亳州市,市区,317,5,2
安徽省,池州市,东至县,317,26,2
安徽省,池州市,青阳县,317,26,11
安徽省,池州市,石台县,317,26,1
安徽省,池州市,市区,317,26,12
安徽省,滁州市,定远县,317,24,3
安徽省,滁州市,凤阳县,317,24,4
安徽省,滁州市,来安县,317,24,5
安徽省,滁州市,全椒县,317,24,5
安徽省,滁州市,天长市,317,24,4
安徽省,滁州市,市区,317,24,3
安徽省,阜阳市,太和县,317,9,3
安徽省,阜阳市,颍上县,317,9,2
安徽省,阜阳市,市区,317,9,4
安徽省,合肥市,巢湖市,317,16,3
安徽省,合肥市,庐江县,317,16,7
安徽省,合肥市,市区,317,16,6
安徽省,淮南市,凤台县,317,6,1
安徽省,淮南市,寿县,317,6,5
安徽省,黄山市,祁门县,317,50,9
安徽省,黄山市,歙县,317,50,21
安徽省,黄山市,休宁县,317,50,12
安徽省,黄山市,黟县,317,50,7
安徽省,黄山市,市区,317,50,1
安徽省,六安市,霍山县,317,21,6
安徽省,六安市,舒城县,317,21,7
安徽省,六安市,市区,317,21,8
安徽省,马鞍山市,当涂县,317,12,7
安徽省,马鞍山市,含山县,317,12,1
安徽省,马鞍山市,和县,317,12,4
安徽省,宿州市,砀山县,317,14,2
安徽省,宿州市,灵璧县,317,14,1
安徽省,宿州市,泗县,317,14,2
安徽省,宿州市,萧县,317,14,4
安徽省,宿州市,市区,317,14,5
安徽省,铜陵市,市区,317,2,2
安徽省,芜湖市,繁昌县,317,18,4
安徽省,芜湖市,南陵县,317,18,2
安徽省,芜湖市,无为县,317,18,5
安徽省,芜湖市,芜湖县,317,18,7
安徽省,宣城市,广德市,317,77,7
安徽省,宣城市,绩溪县,317,77,27
安徽省,宣城市,泾县,317,77,29
安徽省,宣城市,旌德县,317,77,3
安徽省,宣城市,郎溪县,317,77,2
安徽省,宣城市,宁国市,317,77,3
安徽省,宣城市,市区,317,77,6
福建省,福州市,福清市,384,53,6
福建省,福州市,连江县,384,53,4
福建省,福州市,罗源县,384,53,3
福建省,福州市,闽侯县,384,53,5
福建省,福州市,闽清县,384,53,2
福建省,福州市,平潭县,384,53,1
福建省,福州市,永泰县,384,53,2
福建省,福州市,市区,384,53,30
福建省,龙岩市,连城县,384,50,7
福建省,龙岩市,上杭县,384,50,3
福建省,龙岩市,武平县,384,50,2
福建省,龙岩市,漳平市,384,50,6
福建省,龙岩市,长汀县,384,50,15
福建省,龙岩市,市区,384,50,17
福建省,南平市,光泽县,384,80,7
