Prgrvn_i,Pfgrtn_i,Prgrvn_j,Pfgrtn_j,Year,Invja,Umja,Desja
省份i,地市i,省份j,地市j,会计年度,联合申请的发明数量,联合申请的实用新型数量,联合申请的外观设计数量
安徽省,安庆市,安徽省,亳州市,2018,1,0,0
安徽省,安庆市,安徽省,亳州市,2019,1,5,0
安徽省,安庆市,安徽省,亳州市,2020,5,4,0
安徽省,安庆市,安徽省,合肥市,2018,17,10,0
安徽省,安庆市,安徽省,合肥市,2019,15,5,0
安徽省,安庆市,安徽省,合肥市,2020,25,0,0
安徽省,安庆市,安徽省,六安市,2019,1,0,0
安徽省,安庆市,北京市,北京市,2018,16,24,0
安徽省,安庆市,北京市,北京市,2019,33,23,0
安徽省,安庆市,北京市,北京市,2020,70,32,0
安徽省,安庆市,河北省,唐山市,2019,0,1,0
安徽省,安庆市,江苏省,南京市,2018,1,0,0
安徽省,安庆市,江苏省,南京市,2019,6,8,0
安徽省,安庆市,江苏省,南京市,2020,4,3,0
安徽省,安庆市,江苏省,南通市,2019,1,0,0
安徽省,安庆市,辽宁省,大连市,2019,14,7,0
安徽省,安庆市,上海市,上海市,2018,1,0,0
安徽省,安庆市,上海市,上海市,2019,4,7,0
安徽省,安庆市,上海市,上海市,2020,11,7,0
安徽省,安庆市,新疆维吾尔自治区,乌鲁木齐市,2019,0,3,0
安徽省,安庆市,新疆维吾尔自治区,乌鲁木齐市,2020,0,1,0
安徽省,安庆市,浙江省,嘉兴市,2020,2,2,0
安徽省,安庆市,浙江省,宁波市,2020,1,1,0
安徽省,蚌埠市,安徽省,亳州市,2019,4,5,0
安徽省,蚌埠市,安徽省,滁州市,2018,2,7,0
安徽省,蚌埠市,安徽省,滁州市,2019,1,0,0
安徽省,蚌埠市,安徽省,滁州市,2020,7,2,0
安徽省,蚌埠市,安徽省,合肥市,2018,14,7,0
安徽省,蚌埠市,安徽省,合肥市,2019,8,4,0
安徽省,蚌埠市,安徽省,合肥市,2020,8,13,0
安徽省,蚌埠市,安徽省,淮南市,2019,1,0,0
安徽省,蚌埠市,安徽省,淮南市,2020,1,0,0
安徽省,蚌埠市,安徽省,宿州市,2019,4,2,0
安徽省,蚌埠市,安徽省,宿州市,2020,2,2,0
安徽省,蚌埠市,北京市,北京市,2018,25,13,0
安徽省,蚌埠市,北京市,北京市,2019,25,8,0
安徽省,蚌埠市,北京市,北京市,2020,53,8,0
安徽省,蚌埠市,福建省,福州市,2020,2,0,0
安徽省,蚌埠市,福建省,厦门市,2019,1,0,0
安徽省,蚌埠市,福建省,厦门市,2020,1,0,0
安徽省,蚌埠市,广东省,佛山市,2018,0,3,0
安徽省,蚌埠市,广东省,佛山市,2019,0,3,0
安徽省,蚌埠市,广东省,佛山市,2020,0,1,0
安徽省,蚌埠市,广东省,广州市,2020,1,0,0
安徽省,蚌埠市,广东省,深圳市,2018,3,6,0
安徽省,蚌埠市,广东省,深圳市,2019,3,6,0
安徽省,蚌埠市,广东省,深圳市,2020,2,6,0
安徽省,蚌埠市,广西壮族自治区,北海市,2018,1,0,0
安徽省,蚌埠市,广西壮族自治区,北海市,2020,5,1,0
安徽省,蚌埠市,河北省,沧州市,2019,0,2,0
安徽省,蚌埠市,河北省,廊坊市,2020,0,5,0
安徽省,蚌埠市,河北省,石家庄市,2018,1,0,0
安徽省,蚌埠市,河南省,洛阳市,2018,1,0,0
安徽省,蚌埠市,河南省,洛阳市,2020,0,4,0
安徽省,蚌埠市,黑龙江省,绥化市,2018,4,0,0
安徽省,蚌埠市,黑龙江省,绥化市,2020,1,0,0
安徽省,蚌埠市,湖北省,武汉市,2018,2,1,0
安徽省,蚌埠市,湖北省,武汉市,2019,1,0,0
安徽省,蚌埠市,江苏省,南京市,2018,7,0,0
安徽省,蚌埠市,江苏省,南京市,2019,2,1,0
安徽省,蚌埠市,江苏省,南京市,2020,2,3,0
安徽省,蚌埠市,江苏省,苏州市,2018,1,1,0
安徽省,蚌埠市,江苏省,无锡市,2018,3,1,0
安徽省,蚌埠市,江苏省,扬州市,2019,1,0,0
安徽省,蚌埠市,江西省,南昌市,2019,0,1,0
安徽省,蚌埠市,山东省,东营市,2018,1,1,0
安徽省,蚌埠市,山东省,济南市,2020,0,14,0
安徽省,蚌埠市,山东省,济宁市,2020,0,9,0
安徽省,蚌埠市,山东省,临沂市,2020,1,1,0
安徽省,蚌埠市,山东省,日照市,2020,4,6,0
安徽省,蚌埠市,上海市,上海市,2018,2,0,0
安徽省,蚌埠市,上海市,上海市,2019,5,4,0
安徽省,蚌埠市,上海市,上海市,2020,13,1,0
安徽省,蚌埠市,四川省,成都市,2019,1,1,0
安徽省,蚌埠市,新疆维吾尔自治区,自治区直辖县级行政区划,2020,1,1,0
安徽省,蚌埠市,浙江省,杭州市,2018,2,0,0
安徽省,蚌埠市,浙江省,宁波市,2020,2,0,0
安徽省,亳州市,上海市,上海市,2018,1,0,0
安徽省,亳州市,上海市,上海市,2019,1,5,0
安徽省,亳州市,上海市,上海市,2020,9,7,0
安徽省,池州市,安徽省,安庆市,2019,2,1,0
安徽省,池州市,安徽省,合肥市,2018,2,3,0
安徽省,池州市,安徽省,合肥市,2019,9,4,0
安徽省,池州市,安徽省,合肥市,2020,10,8,0
安徽省,池州市,北京市,北京市,2018,6,4,0
安徽省,池州市,北京市,北京市,2019,7,3,0
安徽省,池州市,北京市,北京市,2020,9,8,0
安徽省,池州市,黑龙江省,哈尔滨市,2018,2,0,0
安徽省,池州市,江苏省,南京市,2019,1,0,0
安徽省,池州市,江苏省,南京市,2020,2,0,0
安徽省,池州市,江苏省,徐州市,2018,3,0,0
安徽省,池州市,辽宁省,大连市,2018,1,0,0
安徽省,池州市,辽宁省,大连市,2019,1,0,0
安徽省,池州市,上海市,上海市,2018,5,0,0
安徽省,池州市,上海市,上海市,2019,1,0,0
安徽省,滁州市,安徽省,亳州市,2018,1,1,0
安徽省,滁州市,安徽省,合肥市,2018,6,7,0
安徽省,滁州市,安徽省,合肥市,2019,12,6,0
安徽省,滁州市,安徽省,合肥市,2020,21,14,0
安徽省,滁州市,安徽省,淮南市,2018,5,0,0
安徽省,滁州市,安徽省,淮南市,2020,1,3,0
安徽省,滁州市,安徽省,六安市,2020,6,5,0
安徽省,滁州市,安徽省,宿州市,2018,0,2,0
安徽省,滁州市,安徽省,宿州市,2019,9,3,0
安徽省,滁州市,安徽省,宿州市,2020,0,2,0
安徽省,滁州市,安徽省,宣城市,2019,2,0,0
安徽省,滁州市,北京市,北京市,2018,53,70,0
安徽省,滁州市,北京市,北京市,2019,19,36,1
安徽省,滁州市,北京市,北京市,2020,43,81,0
安徽省,滁州市,福建省,泉州市,2019,1,0,0
安徽省,滁州市,广东省,广州市,2020,1,0,0
安徽省,滁州市,广东省,清远市,2020,1,0,0
安徽省,滁州市,广东省,深圳市,2018,1,0,0
安徽省,滁州市,广东省,深圳市,2019,30,30,0
安徽省,滁州市,广东省,深圳市,2020,15,12,0
安徽省,滁州市,广西壮族自治区,北海市,2019,13,9,0
安徽省,滁州市,湖北省,十堰市,2019,2,15,0
安徽省,滁州市,湖北省,武汉市,2018,1,1,0
安徽省,滁州市,湖北省,武汉市,2019,0,1,0
安徽省,滁州市,湖北省,武汉市,2020,3,7,0
安徽省,滁州市,吉林省,吉林市,2020,1,0,0
安徽省,滁州市,江苏省,常州市,2019,0,1,0
安徽省,滁州市,江苏省,常州市,2020,3,0,0
安徽省,滁州市,江苏省,南京市,2018,5,4,1
安徽省,滁州市,江苏省,南京市,2019,16,21,0
安徽省,滁州市,江苏省,南京市,2020,38,35,0
安徽省,滁州市,江苏省,南通市,2019,0,2,0
安徽省,滁州市,江苏省,宿迁市,2019,0,1,0
安徽省,滁州市,江苏省,无锡市,2019,6,5,0
安徽省,滁州市,江苏省,无锡市,2020,4,27,0
安徽省,滁州市,江苏省,徐州市,2019,2,0,0
安徽省,滁州市,江苏省,扬州市,2020,3,0,0
安徽省,滁州市,辽宁省,丹东市,2018,2,0,0
安徽省,滁州市,内蒙古自治区,包头市,2018,1,8,0
安徽省,滁州市,山西省,吕梁市,2018,0,1,0
安徽省,滁州市,山西省,太原市,2019,1,0,0
安徽省,滁州市,上海市,上海市,2018,13,10,0
安徽省,滁州市,上海市,上海市,2019,28,25,0
安徽省,滁州市,上海市,上海市,2020,10,2,1
安徽省,滁州市,四川省,成都市,2018,1,0,0
安徽省,滁州市,四川省,成都市,2020,0,1,0
安徽省,滁州市,浙江省,杭州市,2018,0,1,0
安徽省,滁州市,浙江省,杭州市,2019,2,0,0
安徽省,滁州市,浙江省,嘉兴市,2020,1,0,0
安徽省,滁州市,浙江省,宁波市,2019,2,0,0
安徽省,滁州市,浙江省,宁波市,2020,0,1,1
安徽省,滁州市,浙江省,温州市,2018,3,3,0
安徽省,滁州市,浙江省,温州市,2019,6,6,0
安徽省,阜阳市,安徽省,安庆市,2018,1,1,0
安徽省,阜阳市,安徽省,亳州市,2018,5,4,0
安徽省,阜阳市,安徽省,滁州市,2018,1,4,0
安徽省,阜阳市,安徽省,滁州市,2020,7,9,0
安徽省,阜阳市,安徽省,合肥市,2018,17,45,0
安徽省,阜阳市,安徽省,合肥市,2019,41,40,0
安徽省,阜阳市,安徽省,合肥市,2020,33,89,0
安徽省,阜阳市,安徽省,淮北市,2019,3,3,0
安徽省,阜阳市,安徽省,淮北市,2020,1,1,0
安徽省,阜阳市,安徽省,淮南市,2019,0,1,0
安徽省,阜阳市,安徽省,宿州市,2019,2,3,0
