Bdhttpnm,Fctn,Drctnm,Cratdt,Prvn,Pftn,Cont,Spfcadd,Tpintdc,Topbdtp,Kcrsusp,Sncarlv,Longit,Latit
寺庙名称,支派类别,负责人姓名,建立日期,所属省份,所属地级市,所属区县,具体地址,佛寺简介,是否为国内名寺,是否为国家文物保护单位,景区级别,经度,纬度
石屋寺,汉语系,张秀英,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇郭桥村,石屋寺，位于枞阳县城之东15公里，远望山色青紫，秀色可餐，故名青山。山南峰下有一平坦巨石，天生石柱撑其下，成了天然石屋，面积约200平方米，人居其间，冬暖夏凉，舒适无比。明末宰相何如宠少时曾读书于其屋，今屋顶巨石有其诗刻一首，诗曰：“坚去附地阁山椒，仙隐禅栖万古遥。为向悬崖磨数字，与他后代认前朝”。,,,,117.317131,30.742290
宝莲庵,汉语系,左翠荣,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇五一村,宝莲庵，位於枞阳县城之东、石矶头以西约三华里的钱麦园老虎山南麓，青松翠竹环抱，风景秀丽，气势巍峨。远眺东西，大江南北，无限风光，尽收眼底。近年来，宝莲庵香火日盛，已被枞阳县宗教部门列入县级保护寺庵之一。[1],,,,117.317604,30.711325
白云岩寺,汉语系,陈新良,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白梅乡岩前村,白云岩寺位于安徽省枞阳县七家山中，历史悠久。宋治平元年（1064年），高僧义青禅师为浮山大华严寺住持，以白云岩为方丈室，并在岩顶题“青华严方丈”，今五字依然清淅可见。后白云端、白云二禅师，元了悟禅师都曾住持该寺，弘扬佛法。文革时，寺庙毁损严重，改革后有九华山僧人住持，重修寺庙，周边游客、香客日渐增多，每月初一、十五更是佛事兴隆，但仍以正月初一、初七、十五为盛，游人香客漫山遍野，游岩已成为民间的庆贺春节的传统节目。,,,,117.394836,30.930283
白马寺,汉语系,尹秀芳,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇连城村,白马寺，民间称白马庙，坐落于安徽省桐城市东南十里的白马乡白马街，约建于唐朝末年，文革时被毁，今于原址重修。,,,,117.207870,30.703152
一心庵,汉语系,张玉霞,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县义津镇义津村,,,,,117.194603,30.915192
三合寺,汉语系,丁俊元,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡秀山村,,,,,117.369263,30.885752
三圣庵,汉语系,张祥明,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇吴桥村,,,,,117.508698,30.918531
三星庵,汉语系,陈启方,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇官山村,,,,,117.194122,30.790611
三贞庵,汉语系,潘翠平,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县麒麟镇岱鳌村,,,,,117.179298,31.067041
