Chrnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Saltm,Chrintdc,Longit,Latit
教堂名称,建立日期,所属省份,所属地级市,所属区县,具体地址,礼拜时间,基督教堂简介,经度,纬度
安庆市圣诞堂,,安徽省,安庆市,,安徽省安庆市健康路15号,日9:00,,117.047230,30.509640
蚌埠市基督教堂,,安徽省,蚌埠市,,安徽省蚌埠市南山路135号,日8:00；六8:00,,117.364990,32.943580
滁州市基督教会,,安徽省,滁州市,,安徽省滁州市公管巷19号,日8:30,,118.309770,32.314160
阜阳市基督教会,,安徽省,阜阳市,,安徽省阜阳市解放北路164号,日8:30,,115.815010,32.909660
合肥市基督教会,,安徽省,合肥市,,安徽省合肥市宿州路74号,日8:30；14:30,,117.289460,31.862860
淮北市基督教会,,安徽省,淮北市,,安徽省淮北市相山5号工地,日8:30,,116.790466,33.978302
淮南市基督教会,,安徽省,淮南市,,安徽省淮南市光华街44号,日8:30,,116.833590,32.631420
黄山市礼拜堂,,安徽省,黄山市,屯溪区,安徽省黄山市屯溪区华山路,日8:30,,118.299011,29.718220
马鞍山市基督教会,,安徽省,马鞍山市,,安徽省马鞍山市采石九华街12号,日8:30,,118.462090,31.657339
宿州市基督教会,,安徽省,宿州市,,安徽省宿州市大河南街45号,日8:30；14:30,,116.983444,33.636778
芫湖市基督教会,,安徽省,芫湖市,,安徽省芫湖市花津路46号,日8:30；14:00,,,
崇文门堂,,北京市,,东城区,北京市崇文门内后沟胡同丁2号,日9:30,,116.420240,39.902610
宽街堂,,北京市,,东城区,北京市东城区地安门东大街东吉祥胡同10号,日9:00,,116.400782,39.933131
珠市口堂,,北京市,,东城区,北京市前门大街129号,日7:30；10:00,,116.398120,39.893280
北京基督教会崇文门堂,1870年,北京市,,东城区,北京市东城区崇内大街后沟胡同丁2号,,"北京基督教会崇文门堂始建于1870年，是美国卫理公会(美以美会)在北京乃至整个华北地区建立的第一所礼拜堂。随着教会信徒人数的不断增加，1880年卫理公会在原址重建教堂，1882年新堂落成。该堂于1900年夏，在义和团运动中被焚毁，1902年清政府拨款重建，于1904年春建成。此即今天的这座礼拜堂。现今，位于北京中心城区繁华地段的崇文门堂，因其地理位置特殊，慕名参观和来往人员众多，已经成为展示首都历史、建筑和宗教""三合一""文化的重要场所之一。崇文门堂现有教职人员13人，聚会信徒约6000人，义工800余人。主日分为汉语崇拜和朝语聚会，共设有4场汉语礼拜，1场朝语礼拜。主日下午开设慕道班、栽培班学习课程。除了主日崇拜以外，教会周间均设有聚会，并建立家庭小组、分龄小组等牧养模式，成立各种小组团契达100多个。崇文门堂积极推动社会和谐、社区和谐、教堂和谐，常年开展安老、抚孤、助残、助学、助医、助困以及关怀社区低保户、贫困户等慈善救助活动。崇文门教堂是北京市目前最古老的一座基督教新教教堂，也是一所涉外的教堂，在国内外享有一定声誉，曾经接待过美国前总统乔治布什、比尔克林顿，英国坎特伯雷大主教乔治凯瑞博士等人。著名布道家葛培理牧师也曾多次来访。主日常有国外信徒来此做礼拜，经常有国际教会间的交流活动。",116.420240,39.902610
