Chrnm,Drctnm,Prvn,Pftn,Cont,Spfcadd,Mastm,Chrintdc,Topshr,Kcrsusp,Longit,Latit
教堂名称,教堂主管,所属省份,所属地级市,所属区县,具体地址,弥撒时间,天主教堂简介,是否为国内朝圣地,是否为国家文物保护单位,经度,纬度
安徽省圣母无染原罪天主堂,郑福起,安徽省,安庆市,潜山县,官庄镇,,,,,117.048470,30.506762
官庄镇天主堂,郑福起,安徽省,安庆市,潜山县,官庄镇,,,,,116.613129,31.015831
安庆市耶稣圣心堂(原主教座堂),胡小树神父,安徽省,安庆市,迎江区,安徽省安庆市锡麟街52号,,安庆天主堂坐落于安庆市孝肃路和锡麟街交汇处，地处繁华商业街区，交通便利。整个建筑群占地面积5841平方米，建筑面积6091平方米，由耶稣圣心堂、神父楼、门厅及庭院组成，是近现代天主教重要的史迹及代表性建筑。,,全国重点文物保护单位,117.048200,30.506105
蚌埠天主堂,张德信 神父,安徽省,蚌埠市,龙子湖区,安徽省蚌埠市淮河路412号,,奉耶稣圣心为主保的蚌埠天主堂历史悠久，教友虔诚，热情，荣主益人，圣教广扬!耶稣圣心尔国临格于中国!(那个照片不是这个教堂),,,117.370030,32.945260
五河县天主堂（若瑟善终堂）,王东平神父,安徽省,蚌埠市,五河县,安徽省五河县中兴路120号天主堂,,位于中兴路与淮河路交汇处，五河宾馆斜对面。,,,117.890938,33.144440
茆家窝天主堂,茆守海      邵秀杰,安徽省,亳州市,蒙城县,安徽省亳州市蒙城县篱笆镇孙圩村茆家窝天主堂从蒙城县汽车站坐到篱笆汽车站下车向西五公里到了。,,光绪十一年【1885】，茆宗先会同法国神父禄世道在茆家窝建天主教堂七间和女教堂一所，住房32间，发展教友200多人，修女2人，设小型医疗室，创办小学。现在正在恢复教堂，请为我们祈祷。,,,116.379143,33.047600
涡阳县天主教堂,刘启仁神父,安徽省,亳州市,涡阳县,西关曹子巷11号乘火车-涡阳站,,始建1895年在现今张火公所，1903年在涡阳北门外偏西涡河南岸购得姓肖中式瓦.草屋一处，1904年聂思聪(法)神父任第一任本堂，传教13年.1917年从上海调来徐佩名(中)神父传教4年.1921-1952年先后有谢书麟(中)应屏国(意)那义威(意)毛雅廷(意)四位神父(副本堂略)1952年春毛雅廷神父回意大利后，由堂里胡学名.凌士英两位修女坚守至改革开放有万杰来任本堂神父至2005年.2007年刘启仁神父从主教府调来至今,,,116.215810,33.492850
巢湖市西圣行政村露德天主堂,,安徽省,巢湖市,,安徽省巢湖市西圣行政村,主日弥撒:8:00,主日弥撒:8:00,,,117.889370,31.623290
池州市贵池县天主堂,范敏修女,安徽省,池州市,贵池县,安徽省池州市贵池县秋浦路6号,,新教堂正在建设装修当中，请各位教友为此祈祷，光荣天主!,,,117.567330,30.686730
圣类思教堂,主管张德信神父代管教堂李红修女,安徽省,滁州市,凤阳县,凤阳县南苑小区天主堂2，3路到妇幼保健站下车,,,,,117.554222,32.858170
类思天主堂,,安徽省,滁州市,凤阳县,滁州市凤阳县天主堂2，3路公交到教堂,,凤阳教堂2006年开堂，能容纳300-400教友，教友甚少，请主内弟兄姊妹为我们祈祷,,,117.554222,32.858170
阜阳市天主堂,李合亮神父,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区双清路颖州区双清路122号西临西二环阜南路东临阜王路北临清河路南临南二环,,,,,115.796190,32.888830
阜阳市颖上县天主堂,许小波神父,安徽省,阜阳市,颖上县,颖上县解放北路天主堂巷颖上县解放北路天主堂巷,,,,,115.807907,32.886532
合肥市天主堂,,安徽省,合肥市,庐阳区,安徽省合肥市金寨路45号,,,,,117.263880,31.833480
合肥基督君王主教座堂,凌旭神父,安徽省,合肥市,新站区,合肥市新站区扶疏路天主堂（老皖江厂菜场附近）平日弥撒早上07:00在小圣堂举行，主日弥撒下午2:00在大圣堂举行。公交站牌：季大圩，蓝天酒店用品城,,,,,117.323936,31.917931
合肥露德圣母堂,程忠良神父,安徽省,合肥市,中市区,三孝口金寨路光明小区1号（老46中对面交通银行旁边的教堂巷）乘坐17/122/126/133/162/701/901路公交车三孝口站牌下车，金寨路老46中对面的教堂巷。（火车站可以乘坐1路公交到廻龙桥站牌下，往回走一站路即到）,主日弥撒早上08:30，平日弥撒早上07:00.,主日弥撒时间早上08:30，平日弥撒早上07:00.每周四晚7:30-8:30朝拜耶稣圣心一小时祈祷活动;每周六晚7:30-8:30圣经学习;主日弥撒后，青年聚会，慕道班学习。,,,117.275238,31.858946
淮北天主堂,张老师,安徽省,淮北市,烈山区,安徽省淮北市烈山区烈山镇宋庄从市里乘12路车,,,,,116.953499,33.928364
临涣镇天主堂,王神父,安徽省,淮北市,濉溪县,安徽省淮北市濉溪县临涣镇天主堂安徽省淮北市濉溪县临涣镇天主堂文昌宫南100米,,濉溪县汽车站乘车到临涣文昌宫下,,,116.558769,33.687122
淮北市相山区晚餐堂,徐祖华,安徽省,淮北市,相山区,安徽省淮北市相山区钟楼,,101省道淮北段,,,116.794250,33.959990
黄山市天主堂,沈新远,安徽省,黄山市,屯溪区,安徽省黄山市屯溪区黎阳后底西20号横江桥直行至红绿灯左转约1000米即到,,,,,118.315100,29.695800
六安圣若瑟堂,张载云神父,安徽省,六安市,金安区,六安市金安区东大街堂子巷,,公交301路始发站边,,,116.492393,31.752460
马鞍山市天主堂,,安徽省,马鞍山市,雨山区,雨山区采石洪家巷火车站坐4路车到采石,,,,,118.459801,31.650660
采石洪家巷耶稣圣心堂,,安徽省,马鞍山市,雨山区,马鞍山采石洪家巷,,安徽马鞍山天主堂和采石洪家巷耶稣圣心堂是一个堂重复,,,118.496132,31.663639
候庄圣若瑟天主堂堂,李丽华,安徽省,宿州市,砀山县,安徽省砀山县周寨镇候庄,,候庄天主堂是安徽北部最早接受信仰的地方。原河北保定主教范学淹曾在此主持教务。现以荣休张振东神父在此备修。,,,116.453700,34.559020
砀山县汪阁圣若瑟天主堂,李丽华修女,安徽省,宿州市,砀山县,安徽省砀山县李庄镇汪阁天主堂在310国道旁边,,,,,116.486300,34.389380
关帝庙镇圣维雅奈天主堂,宋延思,安徽省,宿州市,砀山县,安徽省宿州市砀山县关帝庙镇省道101354公里处（庞桥）,,,,,116.394200,34.351580
黄新庄沙勿略堂,,安徽省,宿州市,砀山县,安徽省宿州市砀山县关帝庙镇黄新庄,,,,,116.394200,34.351580
郑庄天主堂,郑福启,安徽省,宿州市,砀山县,砀山――谢集,,,,,116.212418,34.479759
天主教蚌埠教区八里井圣母圣心堂,李掌印修士,安徽省,宿州市,砀山县,安徽省砀山县关帝庙镇八里井村,,圣母圣心堂,,,116.394200,34.351580
玄庙镇中华圣母堂,汤霞,安徽省,宿州市,砀山县,安徽省宿州市砀山县玄庙镇,,砀山城北20公里,,,116.361900,34.564420
砀山方济各沙勿略天主堂,赵神父,安徽省,宿州市,砀山县,安徽省砀山县城关镇育新南街41号天主教堂砀山县中心医院对面,,砀山火车站乘1，2，3路公交车到中心医院下。砀山汽车总站乘7路公交车到中心医院下车,,,116.342148,34.421452
曹庄镇圣母堂,郑福启,安徽省,宿州市,砀山县,安徽省宿州市砀山县曹庄镇,,砀山---谢集线，向北3公里,,,116.203600,34.423690
王井中华圣母天主堂,汤霞,安徽省,宿州市,砀山县,玄庙镇,,,,,116.977280,33.640040
灵璧县天主堂,王新建神父,安徽省,宿州市,灵壁县,安徽省灵壁县车站西天主堂县汽车站西斜对面,,,,,117.548973,33.538372
韦集天主堂,,安徽省,宿州市,灵璧县,安徽省灵璧县韦集镇,,,,,117.557747,33.391293
白庙天主教堂,,安徽省,宿州市,灵璧县,安徽省灵璧县杨疃镇白庙村白庙小学西南角50米1南可从小朱桥下车向北行1300米左右（建意路线）2北可从灵璧县乘5路公交至小郭桥下车向东1500米左右,,,,,117.528244,33.605343
灵璧县杨疃镇白庙村德肋撒天主堂,,安徽省,宿州市,灵璧县,安徽省灵璧县杨疃镇白庙村从县城汽车站乘5车，小朱桥下车,,本堂始建于2004年10,,,117.524612,33.587360
泗县圣母无染原罪天主堂,徐瑞霞修女,安徽省,宿州市,泗县,泗县新市街天主教堂泗城一小西50米,,圣母无染原罪堂外观精致优美，环境优雅宜人。堂内能容纳千人左右。,,,117.889229,33.476032
杜楼镇杜庄天主堂,,安徽省,宿州市,萧县,安徽萧县杜楼镇杜庄耶稣圣心堂,,交通便利，,,,116.856583,34.194420
李圩教堂,,安徽省,宿州市,萧县,刘集镇李圩村没有直通公交，需到刘集镇坐三轮车到达,,该教堂建于2003年，由天主教固镇管辖神父与李圩村级周边教徒联合组织建设,,,117.269630,33.776970
萧县赵庄镇李酒店村天主堂,刘桂荣,安徽省,宿州市,萧县,萧砀公路路北,,教堂环境优美，交通便利，所在村庄人员多半为教友，教堂建立已有数十年历史，教堂可容纳一千余人，为两层建筑，精美，优雅。,,,116.673553,34.222500
杜楼镇杜庄天主堂,刘先生,安徽省,宿州市,萧县,杜楼镇杜庄交通便利，教堂古典优雅，,,耶稣圣心堂,,,116.856583,34.194420
宿州市天主堂,程神父,安徽省,宿州市,埇桥区,安徽省宿州市港口路沱河2号桥北首,,,,,117.024467,33.629955
天主教蚌埠教区宿州耶稣圣心堂,马琳修女,安徽省,宿州市,埇桥区,港口中路895号天主堂17路公交10路公交天主教堂站,,,,,116.977280,33.640040
铜陵圣母无原罪天主堂,过老师,安徽省,铜陵市,狮子山区,铜陵市东郊联盟村（宏福东第旁边）2、16、13路到狮矿住宅区下。,,,,,117.835175,30.926394
耶稣圣心堂,吴双荣,安徽省,芜湖市,繁昌县,繁昌城关东门山头222号芜湖市-繁昌,,框架式;建于2001年。能纳200人。有160名教友,,,118.171921,31.085032
芜湖市圣若瑟堂,沈宗贺神父,安徽省,芜湖市,镜湖区,安徽省芜湖市镜湖区吉和街28号,,,,全国重点文物保护单位,118.385480,31.340720
南陵县露德圣母堂,,安徽省,芜湖市,,西门河滩上,,97年台湾郎士明六万美元建成现是乞丐窝,,,118.334050,30.914650
河沥溪大圣若瑟堂,凌旭神父,安徽省,宣城市,宁国市,宁国市河沥溪大圣若瑟堂从宣城至宁国的车路经河沥溪桥在东津小学边，宁国市1、2、5路公交车都有停靠站,,由于没有座堂神父，去年9月份教区派吴小满、季红两位修女来传教，老教堂被拆除，目前暂在一座二层的旧楼上约260平米的小堂，属危楼，冬天冷夏天热，地方政府正筹划兴建新堂。,,,119.006142,30.634642
汪溪镇姚高宗汪村圣母领报堂,,安徽省,宣城市,宁国市,汪溪镇姚高宗汪村,,,,,119.062828,30.760500
宣城市耶稣圣心,刘学伟神父,安徽省,宣城市,宣州区,安徽省宣城市宣州区状元中路1号,,宣城圣堂是1891年(光绪十七年)5月，开始建造，至1894年(光绪二十年)4月，当时的一位倪主教祝圣了此圣堂，宣城市圣堂是以耶稣圣心为主保的圣堂。宣城天主堂直到2010年9月复堂，这座圣堂是一座非常典型的徽派式建筑，独具特色。,,,118.756390,30.941390
