Prvn,Pftn,Cont,Arcd,Dilttp,Mdarn1,Mdarn2,Mdarn3
区域代码,省级名称,市级名称,县级名称,官话区/汉语方言区/少数民族方言区,官话（大类）,官话（片区）,官话（小片区）
530102,云南省,昆明市,五华区,官话区,西南官话,昆贵片,
530103,云南省,昆明市,盘龙区,官话区,西南官话,昆贵片,
530111,云南省,昆明市,官渡区,官话区,西南官话,昆贵片,
530112,云南省,昆明市,西山区,官话区,西南官话,昆贵片,
530113,云南省,昆明市,东川区,官话区,西南官话,滇西片,
530114,云南省,昆明市,呈贡区,官话区,西南官话,昆贵片,
530122,云南省,昆明市,晋宁县,官话区,西南官话,昆贵片,
530124,云南省,昆明市,富民县,官话区,西南官话,昆贵片,
530125,云南省,昆明市,宜良县,官话区,西南官话,昆贵片,
530126,云南省,昆明市,石林彝族自治县,官话区,西南官话,昆贵片,
530127,云南省,昆明市,嵩明县,官话区,西南官话,昆贵片,
530128,云南省,昆明市,禄劝彝族苗族自治县,官话区,西南官话,滇西片,
530129,云南省,昆明市,寻甸回族彝族自治县,官话区,西南官话,昆贵片,
530181,云南省,昆明市,安宁市,官话区,西南官话,昆贵片,
530302,云南省,曲靖市,麒麟区,官话区,西南官话,昆贵片,
530321,云南省,曲靖市,马龙县,官话区,西南官话,昆贵片,
530322,云南省,曲靖市,陆良县,官话区,西南官话,昆贵片,
530323,云南省,曲靖市,师宗县,官话区,西南官话,昆贵片,
530324,云南省,曲靖市,罗平县,官话区,西南官话,昆贵片,
530325,云南省,曲靖市,富源县,官话区,西南官话,昆贵片,
530326,云南省,曲靖市,会泽县,官话区,西南官话,昆贵片,
530328,云南省,曲靖市,沾益县,官话区,西南官话,昆贵片,
530381,云南省,曲靖市,宣威市,官话区,西南官话,昆贵片,
530402,云南省,玉溪市,红塔区,官话区,西南官话,昆贵片,
530421,云南省,玉溪市,江川县,官话区,西南官话,昆贵片,
530422,云南省,玉溪市,澄江县,官话区,西南官话,昆贵片,
530423,云南省,玉溪市,通海县,官话区,西南官话,昆贵片,
530424,云南省,玉溪市,华宁县,官话区,西南官话,昆贵片,
530425,云南省,玉溪市,易门县,官话区,西南官话,昆贵片,
530426,云南省,玉溪市,峨山彝族自治县,官话区,西南官话,昆贵片,
530427,云南省,玉溪市,新平彝族傣族自治县,官话区,西南官话,昆贵片,
530428,云南省,玉溪市,元江哈尼族彝族傣族自治县,官话区,西南官话,昆贵片,
530502,云南省,保山市,隆阳区,官话区,西南官话,滇西片,保潞小片
530521,云南省,保山市,施甸县,官话区,西南官话,滇西片,保潞小片
530522,云南省,保山市,腾冲市,官话区,西南官话,滇西片,保潞小片
530523,云南省,保山市,龙陵县,官话区,西南官话,滇西片,保潞小片
530524,云南省,保山市,昌宁县,官话区,西南官话,滇西片,保潞小片
530602,云南省,昭通市,昭阳区,官话区,西南官话,昆贵片,
530621,云南省,昭通市,鲁甸县,官话区,西南官话,昆贵片,
530622,云南省,昭通市,巧家县,官话区,西南官话,昆贵片,
530623,云南省,昭通市,盐津县,官话区,西南官话,灌赤片,仁富小片
530624,云南省,昭通市,大关县,官话区,西南官话,灌赤片,岷江小片
530626,云南省,昭通市,绥江县,官话区,西南官话,灌赤片,岷江小片
530627,云南省,昭通市,镇雄县,官话区,西南官话,黔北片,
530628,云南省,昭通市,彝良县,官话区,西南官话,黔北片,
530629,云南省,昭通市,威信县,官话区,西南官话,黔北片,
530630,云南省,昭通市,水富县,官话区,西南官话,灌赤片,岷江小片
530702,云南省,丽江市,古城区,官话区,西南官话,灌赤片,丽川小片
530721,云南省,丽江市,玉龙纳西族自治县,官话区,西南官话,灌赤片,丽川小片
530722,云南省,丽江市,永胜县,官话区,西南官话,昆贵片,
530723,云南省,丽江市,华坪县,官话区,西南官话,昆贵片,
530724,云南省,丽江市,宁蒗彝族自治县,官话区,西南官话,昆贵片,
530802,云南省,普洱市,思茅区,官话区,西南官话,昆贵片,
530802,云南省,普洱市,思茅区,官话区,西南官话,昆贵片,
530821,云南省,普洱市,宁洱哈尼族彝族自治县,官话区,西南官话,昆贵片,
530821,云南省,普洱市,宁洱哈尼族彝族自治县,官话区,西南官话,昆贵片,
530822,云南省,普洱市,墨江哈尼族自治县,官话区,西南官话,昆贵片,
530823,云南省,普洱市,景东彝族自治县,官话区,西南官话,昆贵片,
530824,云南省,普洱市,景谷傣族彝族自治县,官话区,西南官话,昆贵片,
530825,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,官话区,西南官话,昆贵片,
530826,云南省,普洱市,江城哈尼族彝族自治县,官话区,西南官话,昆贵片,
530827,云南省,普洱市,孟连傣族拉祜族佤族自治县,官话区,西南官话,昆贵片,
530828,云南省,普洱市,澜沧拉祜族自治县,官话区,西南官话,昆贵片,
