Prvn,Pftn,Cont,Arcd,Dilttp,Ehncdilt1,Ehncdilt2,Ehncdilt3,Ehncdilt4,Ehncdilt5
区域代码,省级名称,市级名称,县级名称,官话区/汉语方言区/少数民族方言区,少数民族方言（语族）,少数民族方言（语族大类）,少数民族方言（语族小类）,少数民族方言（语族细分1）,少数民族方言（语族细分2）
622926,甘肃省,临夏州,东乡族自治县,少数民族方言区,蒙古语族,东乡语,,,
622926,甘肃省,临夏州,东乡族自治县,少数民族方言区,蒙古语族,保安语,,,
622926,甘肃省,临夏州,东乡族自治县,少数民族方言区,蒙古语族,土族语,东乡语,,
622927,甘肃省,临夏州,积石山保安族东乡族撒拉族自治县,少数民族方言区,蒙古语族,土族语,,,
622927,甘肃省,临夏州,积石山保安族东乡族撒拉族自治县,少数民族方言区,突厥语族,撒拉语,,,
623001,甘肃省,甘南州,合作市,少数民族方言区,藏缅语族,藏语,安多方言,半农半牧区土语,
623022,甘肃省,甘南州,卓尼县,少数民族方言区,藏缅语族,藏语,康方言,卓尼土语,
623023,甘肃省,甘南州,舟曲县,少数民族方言区,藏缅语族,藏语,康方言,舟曲土语,
623024,甘肃省,甘南州,迭部县,少数民族方言区,藏缅语族,藏语,康方言,卓尼土语,
623025,甘肃省,甘南州,玛曲县,少数民族方言区,藏缅语族,藏语,安多方言,牧区土语,
623026,甘肃省,甘南州,碌曲县,少数民族方言区,藏缅语族,藏语,安多方言,牧区土语,
623027,甘肃省,甘南州,夏河县,少数民族方言区,藏缅语族,藏语,安多方言,半农半牧区土语,
440118,广东省,广州市,增城市,少数民族方言区,苗瑶语族,畲语,,,
440232,广东省,韶关市,乳源瑶族自治县,少数民族方言区,苗瑶语族,瑶语,,,
441323,广东省,惠州市,惠东县,少数民族方言区,苗瑶语族,畲语,,,
441826,广东省,清远市,连南瑶族自治县,少数民族方言区,苗瑶语族,瑶语,,,
450109,广西壮族自治区,南宁市,邕宁区,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,邕南次方言
450122,广西壮族自治区,南宁市,武鸣县,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,邕北次方言
