城市代码,城市名称,方言分化指数,方言片个数,方言分化指数_归一化
110000,北京,0.2560046,3.0,0.326596248861597
120000,天津,0.19826441,2.0,0.2527052229470731
130100,石家庄,0.2669368,2.0,0.34058635650590424
130200,唐山,0.07010359,1.0,0.08869581335131965
130300,秦皇岛,0.2712186,1.0,0.3460658430604308
130400,邯郸,0.38532972,3.0,0.49209563141158347
130500,邢台,0.24703646,2.0,0.31511957957552295
130600,保定,0.13089707,2.0,0.16649418232298543
130700,张家口,0.21907235,2.0,0.2793334698192752
130800,承德,0.61997876,2.0,0.7923796847799243
130900,沧州,0.14166549,2.0,0.1802746981349091
131000,廊坊,0.5238582,2.0,0.6693726979674711
131100,衡水,0.31674465,2.0,0.40432624262503064
140100,太原,0.09498982,2.0,0.12054311184210746
140200,大同,0.38300626,3.0,0.4891222632416595
140300,阳泉,0.35930425,2.0,0.4587904296412453
140400,长治,0.01417799,1.0,0.017126946693878882
140500,晋城,0.5593046,3.0,0.7147340114819674
140600,朔州,0.4883925,2.0,0.6239866859405497
140700,晋中,0.284408,2.0,0.36294452491438767
140800,运城,0.00480679,1.0,0.005134475209975108
140900,忻州,0.10308529,2.0,0.13090301165470333
141000,临汾,0.1054226,2.0,0.13389410388665263
150100,呼和浩特,0.59521951,2.0,0.7606948845848751
150300,乌海,0.11898608,1.0,0.15125150177833127
210100,沈阳,0.3719538,2.0,0.47497825699091395
210200,大连,0.10889213,1.0,0.13833411579415097
210300,鞍山,0.42825547,3.0,0.5470283863202593
210400,抚顺,0.41343812,1.0,0.5280663913418123
210500,本溪,0.55246048,2.0,0.705975483872652
210600,丹东,0.60863994,3.0,0.7778692191500031
210700,锦州,0.4131255,1.0,0.5276663266291504
210800,营口,0.13510832,1.0,0.17188338493701455
210900,阜新,0.27682611,1.0,0.35324186147543696
211000,辽阳,0.1402937,1.0,0.1785191969763697
211200,铁岭,0.65566887,2.0,0.8380528778002834
211300,朝阳,0.39778281,2.0,0.5080320458207827
211400,葫芦岛,0.62171637,2.0,0.7946033315247538
220100,长春,0.06893109,1.0,0.08719534672859501
220200,吉林,0.35267961,2.0,0.450312774027116
220300,四平,0.15508691,1.0,0.19745029961855
220400,辽源,0.1554346,1.0,0.19789524395974842
220500,通化,0.40934961,2.0,0.5228342610290824
220700,松原,0.07432257,1.0,0.09409490816747558
220800,白城,0.11060462,1.0,0.14052561608135758
222400,延边朝鲜族自治州,0.49944334,1.0,0.6381286190519104
230100,哈尔滨,0.32141878,3.0,0.410307800028251
230200,齐齐哈尔,0.0709097,1.0,0.08972740494982248
230300,鸡西,0.58708053,3.0,0.7502793043434907
230400,鹤岗,0.06946284,1.0,0.08787583553595861
230500,双鸭山,0.0744288,1.0,0.09423085236306794
230600,大庆,0.46096757,2.0,0.5888905732790914
230700,伊春,0.05776983,1.0,0.07291210741298593
230800,佳木斯,0.0852547,1.0,0.10808492623168603
230900,七台河,0.1071144,1.0,0.13605912685665308
231000,牡丹江,0.57751,2.0,0.7380317471351452
231100,黑河,0.0739994,1.0,0.09368134245449825
231200,绥化,0.48051964,2.0,0.613911663633186
310000,上海,0.0126082,1.0,0.015118061832738654
320100,南京,0.1472472,2.0,0.18741769988563692
320200,无锡,0.00697876,1.0,0.007913979253095995
320300,徐州,0.49719461,2.0,0.6352508840339832
320400,常州,0.00758905,1.0,0.008694976929157935
320500,苏州,0.00486861,1.0,0.005213587232676034
320600,南通,0.3934217,2.0,0.5024510650164921
320700,连云港,0.5005108,2.0,0.6394946643406897
320800,淮安,0.00401271,1.0,0.004118278590978788
320900,盐城,0.36852671,2.0,0.4705925562164377
321000,扬州,0.00849298,1.0,0.009851750314470931
321100,镇江,0.4338432,2.0,0.5541790919593187
321200,泰州,0.23355096,2.0,0.29786197391176755
321300,宿迁,0.36009959,2.0,0.45980823870198545
330100,杭州,0.22814283,2.0,0.2909411052069864
330200,宁波,0.0112699,1.0,0.013405418351977554
330300,温州,0.28405285,2.0,0.36249003389429335
330400,嘉兴,0.0085469,1.0,0.009920752583381218
330500,湖州,0.00903301,1.0,0.010542835167579662
330600,绍兴,0.0078464,1.0,0.009024311756755537
330700,金华,0.0159487,1.0,0.01939295202737547
330800,衢州,0.0194315,1.0,0.02384994576181077
331000,台州,0.00879456,1.0,0.010237686966139414
331100,丽水,0.0686183,1.0,0.08679506446426917
340100,合肥,0.01732209,1.0,0.021150500730986385
340200,芜湖,0.49725408,2.0,0.6353269887248604
340300,蚌埠,0.48193795,2.0,0.6157266971646799
340400,淮南,0.46321946,1.0,0.591772352198535
340500,马鞍山,0.0129957,1.0,0.015613951654747866
340600,淮北,0.00352436,2.0,0.0034933294436802122
340700,铜陵,0.0081425,1.0,0.009403235566554058
340800,安庆,0.47714482,2.0,0.6095928535967651
341000,黄山,0.71100763,4.0,0.9088707561141167
341100,滁州,0.2986932,2.0,0.38122551919920306
341200,阜阳,0.28560504,2.0,0.36447639575964674
341300,宿州,0.61048613,3.0,0.7802318174222487
341400,巢湖,0.00532552,1.0,0.0057983021193192055
341600,亳州,0.0194407,1.0,0.023861719145972023
341700,池州,0.54020303,3.0,0.6902894330370731
341800,宣城,0.54985906,4.0,0.7026464059351778
350100,福州,0.02186776,1.0,0.026967665859276985
350200,厦门,0.0240853,1.0,0.02980548654546616
350500,泉州,0.0372653,1.0,0.046672139072127826
350800,龙岩,0.4390257,2.0,0.5608112184175451
350900,宁德,0.5025895,2.0,0.6421548093032974
360100,南昌,0.2706811,2.0,0.34537799588796647
360200,景德镇,0.0024821,1.0,0.0021595329897774523
360400,九江,0.5093146,3.0,0.6507610251536048
360500,新余,0.00268689,1.0,0.0024216059617755584
360600,鹰潭,0.00654219,1.0,0.007355293783174549
360700,赣州,0.5430815,3.0,0.6939730562008379
360800,吉安,0.23547309,3.0,0.3003217537919703
360900,宜春,0.52079623,4.0,0.6654542469783161
361000,抚州,0.00276554,1.0,0.0025222555991975567
361100,上饶,0.579247,4.0,0.7402546132534161
370100,济南,0.4753971,2.0,0.607356268926515
370200,青岛,0.1832017,2.0,0.23342923693190828
370300,淄博,0.32572829,2.0,0.41582274750398496
370400,枣庄,0.49763334,2.0,0.6358123336897512
370500,东营,0.00605965,1.0,0.0067377797839169385
370600,烟台,0.23528351,2.0,0.3000791452953083
370700,潍坊,0.46543226,2.0,0.5946041070324497
370800,济宁,0.313026,2.0,0.3995674279498963
370900,泰安,0.46047723,3.0,0.5882630774976102
371000,威海,0.01121212,1.0,0.01333147638058222
371100,日照,0.3066236,2.0,0.39137417634620136
371200,莱芜,0.0064677,1.0,0.007259967762938508
371300,临沂,0.657409,4.0,0.8402797494286005
371400,德州,0.5034797,2.0,0.6432940121924654
371500,聊城,0.2486264,2.0,0.3171542507074076
371600,滨州,0.00982781,1.0,0.011559953181858167
371700,菏泽,0.58643898,3.0,0.7494583027555939
410100,郑州,0.46265144,2.0,0.5910454481038313
410200,开封,0.5549667,3.0,0.7091827328783705
410300,洛阳,0.1400467,2.0,0.1782031072059535
410400,平顶山,0.0265063,1.0,0.03290367818181274
410500,安阳,0.46260081,2.0,0.5909806560994743
410600,鹤壁,0.50020239,2.0,0.639099987230997
410800,焦作,0.1956994,2.0,0.2494227394571328
410900,濮阳,0.0060153,1.0,0.00668102439396569
411000,许昌,0.26129069,2.0,0.3333609410660477
411100,漯河,0.2449923,2.0,0.31250363599214653
411300,南阳,0.1211208,2.0,0.1539833364127558
411400,商丘,0.255686,2.0,0.32618853144923016
411500,信阳,0.17017602,2.0,0.21676007012739493
411600,周口,0.59608725,3.0,0.7618053450601016
411700,驻马店,0.34392693,2.0,0.43911183227923584
420100,武汉,0.2326162,2.0,0.29666574689235764
420200,黄石,0.00258376,1.0,0.002289628884759275
420300,十堰,0.3570523,2.0,0.4559085739388617
420500,宜昌,0.18807548,1.0,0.23966628956858452
420600,襄阳,0.00697756,1.0,0.007912443594292355
420700,鄂州,0.00341704,1.0,0.0033559903580078813
420800,荆门,0.652732,3.0,0.834294519241408
421000,荆州,0.7191257,4.0,0.9192595775008477
421100,黄冈,0.00079459,1.0,0.0
421200,咸宁,0.00353917,1.0,0.003512282032748487
421300,随州,0.45968666,2.0,0.5872513726806146
422800,恩施土家族苗族自治州,0.58641154,2.0,0.7494231873576171
430100,长沙,0.34746975,2.0,0.44364563454816663
430300,湘潭,0.42780715,2.0,0.5464546641912188
430400,衡阳,0.56583476,3.0,0.7230907595596232
430500,邵阳,0.6037189,3.0,0.7715716871507766
430600,岳阳,0.63287373,3.0,0.808881579949251
430700,常德,0.14895417,1.0,0.18960213614234675
430800,张家界,0.49405978,2.0,0.6312391929611338
430900,益阳,0.00735004,1.0,0.008389112086942655
431000,郴州,0.56423961,3.0,0.7210494211090993
431100,永州,0.43448846,2.0,0.5550048412923501
431300,娄底,0.0027567,1.0,0.0025109429126773984
433100,湘西土家族苗族自治州,0.69784482,3.0,0.8920261018998172
440100,广州,0.02770017,1.0,0.03443149232839889
440200,韶关,0.5736783,3.0,0.7331282606035512
440300,深圳,0.5060897,2.0,0.6466340700903854
440400,珠海,0.46217205,2.0,0.5904319652089332
440500,汕头,0.0019962,1.0,0.0015377191458696448
440600,佛山,0.05462797,1.0,0.06889141993897854
440700,江门,0.0259379,1.0,0.03217628779515458
440800,湛江,0.61330411,3.0,0.7838380305851532
440900,茂名,0.4106712,2.0,0.5245255204610028
441200,肇庆,0.45244408,2.0,0.5779829295655502
441300,惠州,0.67092001,4.0,0.85757000063909
441400,梅州,0.0015075,1.0,0.000912322098086674
441900,东莞,0.06027886,1.0,0.0761229524197363
442000,中山,0.05246196,1.0,0.06611954300124909
445100,潮州,0.0060059,1.0,0.0066689950666704995
445200,揭阳,0.0023267,1.0,0.0019606651747058877
445300,云浮,0.49182947,2.0,0.6283850303058426
450100,南宁,0.5139669,2.0,0.6567146463637556
450200,柳州,0.5204055,1.0,0.6649542236746937
450300,桂林,0.5448399,2.0,0.6962233082344406
450400,梧州,0.55044705,3.0,0.7033988659518056
450500,北海,0.03646998,1.0,0.04565435560570107
450700,钦州,0.1841473,1.0,0.23463933606917775
450800,贵港,0.57309341,2.0,0.7323797677054997
452400,贺州地区,0.63419212,2.0,0.8105687442910284
452600,百色地区,0.38208683,2.0,0.4879456542634662
452700,河池地区,0.52034441,1.0,0.6648760458444317
460100,海口,0.04906204,1.0,0.06176861210151862
460200,三亚,0.5066743,1.0,0.6473821918708929
500000,重庆,0.2973513,3.0,0.37950826874203103
