Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
清真寺名称,建立日期,所属省份,所属地级市,所属区县,具体地址,清真寺简介,是否为国内名寺,是否为国家文物保护单位,景区级别,经度,纬度
安庆清真寺,年代不详,安徽省,安庆市,南关镇,安徽省安庆市南关镇,"安庆清真寺是安徽省清真古寺之一，始建于1469年，原名礼拜堂，后""沿各省旧例""易今名。安庆清真寺位于安徽省安庆市南关镇海门内忠孝街。",,,,117.034240,30.512270
安庆市关南清真寺,明成化五年(1469年),安徽省,安庆市,,,安庆关南清真寺位于安庆市清真寺街ll号。安庆老城区历史上有清真寺数座，此寺因地处南水关以南，故俗称关南清真寺。,,,,125.343790,46.417730
定远县三苏清真寺,年代不详,安徽省,滁州市,定远县,,三苏清真寺又名张圩清真寺，位于安徽省定远县二龙回族乡，原建于清代，大殿3间共90平方米，为中国古典建筑形式。附属建筑有望月楼及3间住房。本坊560户，5000余人，均为回族。,,,,103.268738,35.652767
定远县二龙清真寺,1943年,安徽省,滁州市,定远县,安徽省定远县二龙回族乡,二龙回族乡即王回岗，为安徽省境内知名的回族聚居点。元代就有穆斯林在此安居，明初著名回族将领蓝玉为此地人，当时已有回民600余户，名南府城，在蓝玉主持下重建1座清真寺，规模、建筑仿南京静觉寺.蓝坐狱后被灭九族，其府邸和清真寺均遭抄毁。后明廷派武德卫指挥使王英(回族)率部驻镇，重建清真寺，始改名王回岗沿袭至今。,,,,117.702003,32.292072
定远县池河清真寺,明末清初,安徽省,滁州市,定远县,安徽省定远池河古镇,池河清真寺位于安徽省定远池河古镇，创建于明末清初。占地总面积1.2亩，礼拜殿为原讲堂改用，瓦房结构，建筑面积83平方米。,,,,117.961662,32.509933
嘉山县横山清真寺,年代不详,安徽省,滁州市,明光市,,横山清真寺位于安徽省嘉山县横山乡，约建于明末清初，现占地1.1亩，建筑总面积280平方米。,,,,130.904990,45.210720
太和县清真北寺,年代不详,安徽省,阜阳市,太和县,安徽省太和县城关镇,太和县清真北寺位于安徽省太和县城关镇，该寺始建于明朝洪武十年(1377年)，大修于清朝乾隆八年(1743年)，1958年宗教改革时关闭，1986年重新开放。,,,,115.622467,33.160973
涡阳县义门清真寺,民国十七年（1928年）,安徽省,毫州市,涡阳县,,义门清真寺位于涡阳县义门镇，占地3600平方米。遭水灾、战乱被毁，民国十七年(1928年)重建，为回族同胞礼拜专用屋。2009年被省宗教局评为安徽省和谐清真寺。,,,,119.188370,32.263142
亳州市北京清真寺,明万历年间,安徽省,毫州市,,,亳州市北京清真寺位于亳州市双寺街，占地面积3442.7平方米，始建于元朝至政年间。被列为全国100座清真寺之一，市级重点文物保护单位。也是亳州保存原貌最好的清真寺之一。,,市级文物保护单位,,115.769173,33.880501
肥西县官亭镇马河湾清真寺,年代不详,安徽省,合肥市,肥西县,安徽省肥西县官亭镇马河湾村中心、312国道旁,马河湾清真寺位于安徽省肥西县官亭镇马河湾村中心、312国道旁。原清真寺是清道光年间所建，中间历经增修，到解放初期已极具规模，建筑格式全是中式砖木结构古建筑风格，但文革时遭破坏。现有的清真寺系2004年所建，占地面积1.8亩，建筑面积720平方米。,,,,116.891640,31.805311
合肥清真寺,年代不详,安徽省,合肥市,南关镇,安徽省安庆市南关镇,合肥清真寺位于逍遥津公园对面，背靠淮河路步行街。该寺建于明洪武年间，又名礼拜寺，曾遭破坏，1981年回归后扩建，设施配套、规模可观、结构大方、美观。全寺建筑总面积为1500平方米，二层小楼，大殿面积为160平方米，建筑形式为阿拉伯式、寺内有阿旬1名，满拉2人，学董10人，有阿文藏经30卷。现有教民3000户，人口1万余名，均系回族.尊奉格迪目.礼拜寺从1982年开放以来，每月可接待参观及礼拜人数达5000名，成为合肥穆斯林同国内与世界进行宗教文化交流的重要场合，同许多国外宗教界人士建立了深厚的憎谊和联系。,,,,117.034240,30.512270
凤台县城关清真寺,年代不详,安徽省,淮南市,凤台县,安徽省凤台县城关镇,凤台县城关清真寺坐落于安徽省凤台县城关镇，经过了多次损毁重建，党的十一届三中全会后，要求恢复清真寺。经十余年努力，县政府以凤政(92)15号文件给予恢复。现该寺占地面积0.71亩。,,,,116.723259,32.709160
淮南田家庵清真寺,1942年,安徽省,淮南市,南关镇,安徽省安庆市南关镇,田家庵清真寺位于安徽省淮南市淮滨街，建于1942年。该寺占地面积近1亩，礼拜大殿为中国古典木结构建筑形式，双层飞檐挑阁，美观华丽。,,,,117.034240,30.512270
淮南赖山集清真寺,年代不详,安徽省,淮南市,,,赖山清真寺位于安徽省淮南市谢家集区李郢孜镇内。始建于明万历八年(公元1580年)，初为章房五间，大殿三间，偏房二间。清乾隆十五年(公元1750年)，大殿改建为砖墙瓦顶五间，偏房四间。乾隆二十五年、五十四年两次修缮。清光绪六年(公元1880年)扩建讲经房六间，大门楼及偏房三间，均系砖墙瓦顶，加建草房七间，作为浴室及阿訇住宅。此后，清福建水师提督杨岐珍(淮南赖山集人)返籍时，倡议本族各户集资筹款，重修被太平军焚毁的清真寺。清光绪三十三年，修建竣工，存之至今。,,,,115.715302,39.388870
淮南太平清真西寺,,安徽省,淮南市,,,,,,,103.369019,34.707512
界首清真古寺,年代不详,安徽省,界首市,界首市,安徽省界首市教门街,界首清真古寺位于安徽省界首市内，始建年代已无从考证，清咸丰二年(1852年)曾重修扩建。现全夺占地面积约7亩。,,,,115.374360,33.257220
寿县瓦埠清真寺,清代,安徽省,六安市,寿县,安徽省寿县瓦埠镇西街,瓦埠清真寺位于安徽省寿县瓦埠镇西街，约始建于清代，几度兴废。,,,,116.928703,32.328327
寿县双桥清真寺,年代不详,安徽省,六安市,寿县,,双桥清真寺位于安徽省寿县双桥乡，建于1992年10月，为2间砖木结构瓦房，占地面积0.2亩。有阿訇马昌格。,,,,126.312270,45.383550
寿县清真寺,年代不详,安徽省,六安市,寿县,,"寿县清真寺，位于寿县寿春镇回民聚居的清真寺巷内。筹建于康熙年间(1662-1722年)，占地5400平方米。1981年寺内维修时，于殿顶发现纪年砖两块，铭文分别为""明天启年(1621-1627年)建，道光年(1821-1850年)重修。1986年大殿落架大修，于瓦椽上发现""民国二十九年(1940年)重修""墨水字样。2013年3月中华人民共和国国务院公布第七批全国重点文物保护单位。",,,,110.230377,25.079792
寿县板桥清真寺,年代不详,安徽省,六安市,寿县,,"板桥清真寺位于安徽省寿县板桥镇东街。始建于清嘉庆十一年(1806年)，礼拜大殿为中国古建筑形式，共5间，存当地名人赠""无像宝殿""匾，沐浴室、讲堂等建筑计16间。",,,,114.650480,33.647380
寿县许家清真寺,,安徽省,六安市,,,,,,,103.369019,34.707512
杨山县南关清真寺,年代不详,安徽省,宿州市,汤山县,安徽省汤山县南关街,杨山县南关清真寺位于安徽省汤山县南关街，始建于明永乐十五年(1417年)，现占地面积4.7亩，建筑面积275平方米，为宫殿式建筑风格。其中清真寺内有伊斯兰武馆1座。,,,,116.352898,34.421593
芜湖清真寺,明朝,安徽省,芜湖市,,,据历史文献记载，安徽省芜湖市早在元朝期间就有穆斯林在此生活，芜湖穆斯在明朝期间在老横街附近(现融汇广场西区)建过1座规模较小的清真寺，后毁于清王朝镇压太平军的战火中。,,,,112.488968,34.702751
北京万子营清真寺,年代不详,北京市,,朝阳区,,万子营清真寺始建于十八世纪初(约三百年前)，其历史悠久，位于朝阳区黑庄户万子营路(京沈高速公路南),,,,113.702728,34.245171
北京长营清真寺,明朝正德年间,北京市,,朝阳区,北京朝阳区常营路常营民族家园11号楼,常营清真寺是北京地区的清真古寺之一，始建于明正德年间。常营清真寺占地面积约8000平方米，整体建筑布局严谨统一，气势宏伟典雅，既蕴含古建神韵又充满现代气息。常营清真寺位于北京朝阳区常营路常营民族家园11号楼。,,,,116.585350,39.930153
北京二里庄清真寺,元代,北京市,,朝阳区,北京市朝阳区,北京二里庄清真寺位于北京市东直门外察慈小区。占地面积1100平方米，建筑面积774平方米，四合院建筑格局，坐东朝西，有大殿、南北配殿及东房，寺内设施齐全，有男女浴室及锅炉房。大殿可容纳约三百人礼拜。原址在东外小街北下关68号，始建于元代，清康熙三十五年(1696)重修。1958年后曾改做福利纸盒厂。1986年恢复为宗教活动场所。1986年定为东城区文物保护单位，迁至西北1000米察慈小区内重建。新寺1992年完工，1993年9月15日重新启用，每周五主麻日有300人来寺礼拜，因邻近使馆区，信仰伊斯兰教国家使馆人员，每逢主麻日及三大节日来会礼的外宾多达200多人。东城区伊斯兰教协会设在二里庄清真寺内。东城区文物保护单位。,,,,116.443550,39.921900
北京八里庄清真寺,年代不详,北京市,,朝阳区,北京市朝阳区,八里庄清真寺是北京清真寺之一，始建于十八世纪初(约三百年前)位于朝阳区八里庄158号，由于清真古寺饱经历史沧桑，大殿及配套设施受到破坏，近年先后进行了大规模修建，修整后的清真古寺设施齐全，环境幽雅、清新、自然、古朴，是广大穆斯林群众朝拜的理想场所。其历史悠久，环境幽雅，可谓旅游休闲之胜地。,,,,116.443550,39.921900
东白塔清真寺,年代不详,北京市,,大兴区,,东白塔清真寺位于安定镇东白塔村，始建于明万历二十三年(1595年)，清康熙三十七年(1698年)重建。1944年第二次重建。是大兴区文物保护单位。,,,,114.990250,38.516260
北京南豆芽清真寺,元代,北京市,,海淀区,海淀镇南西栅栏路西,南豆芽清真寺位于朝内豆瓣胡同4号，坐东向西。始建于元代，2000年改建成现在新的清真寺。南豆芽清真寺开拓进取，在围绕宏扬伊斯兰宗教文化，宏扬伊玛尼内涵中发挥了重要的作用。,,,,112.868065,34.903641
马甸清真寺,1980年,北京市,,海淀区,北京市海淀区马甸南村7号,马甸清真寺是北京的清真古寺之一，始建于清康熙年间马甸地区。马甸清真寺总面积为3800多平方米，整体建筑为典型的中国传统的四合院式的建筑。寺中有400多年古树，几百年来，这些古树不但目睹了清真寺的几百年的沧桑，而且还为清真寺遮风挡雨，到了炎热的夏天，绿荫覆盖，为宁静的清真寺增添了不少生机和情趣。,,海淀区重点文物保护单位,,116.377388,39.966068
北京海淀清真寺,明末清初,北京市,,海淀区,海淀镇南西栅栏路西,"海淀清真寺位于海淀镇南西栅栏路西。始建于明末清初。清真寺占地约30余亩，布局为三进院落。寺北辟有菜园，寺西有义地。礼拜殿为3间两卷前出抱厦，殿前有白石月台，殿中后部建窑殿1间，壁上书""米哈拉布""经文，殿顶中央建单据四角方亭一座，为伊斯兰教建筑形式。院南北各建讲经堂3间。",,,,126.597298,45.982643
北京门头沟清真寺,年代不详,北京市,,门头沟区,,北京市门头沟区有回族穆斯林300多户，1300多人，散居在三家店、大台、黑山、木城涧、新桥、矿区家属宿舍等地。坐落在城子大街的清真寺，建于北京解放初期，礼拜殿和其他用房年久失修，并遭十年浩劫破坏。十一届三中全会后，落实宗教政策，清真寺恢复开放，1986年成立了寺管会，回族老工人马德胜当选为主任。,,,,116.362710,39.921760
北京通县于家务清真寺,,北京市,,通州区,,,,,,103.369019,34.707512
北京通县马驹桥清真寺,,北京市,,通州区,,,,,,103.369019,34.707512
北京通县张家湾清真寺,,北京市,,通州区,,,,,,103.369019,34.707512
北京通县清真寺,,北京市,,通州区,,,,,,103.369019,34.707512
北京清真永寿寺,年代不详,北京市,,西城区,,清真永寿寺在西城区三里河中巷2、3号。明万历三十三年(1605)始建,,,,113.260070,23.142230
北京清真法源寺,年代不详,北京市,,西城区,西城区德胜门,"清真法源寺在西城区德胜门外大街200号，该寺亦称德外大街清真寺。清康熙初年重修，1983年重修。现占地面积2.7亩，建筑面积1148平方米.整个寺院为中国古典式建筑风格，古雅、端庄、幽美壮观。大殿内悬挂有中共中央委员刘格平题写的匾额和民国时期马福祥先生题写的匾额各1块。正门外有影壁1座。正门1间，横额上书""开天古教""。正门两旁各开1门。二门为一座重檐建筑，二门外北为洗浴室，南为客房。二门内有讲堂、大殿、窑殿、邦克楼。现为德外清真寺。",,,,116.379631,39.949650
北京清真普寿寺,年代不详,北京市,,西城区,西城区锦什坊街63号,"北京清真普寿寺在西城区锦什坊街63号。始建年代不详。原占地4000平方米。清真寺大殿中的圣龛背向""麦加""，因麦加在中国西部，所以清真寺大殿都坐西朝东。大门三座，歇山顶，石砌。",,,,116.362710,39.921760
北京花市清真寺,1415年,北京市,,西花市,北京市西花市大街30号,花市清真寺是北京地区著名清真寺之一，位于北京市崇文区西花市大街30号。花市清真寺始建于明朝永乐十三年(1415年)，后多次维修扩建，始成现在规模。花市清真寺占地面积2000平方米。整体风格为清式建筑。,,,,116.426020,39.897220
北京东四清真寺,元至正六年(1356年),北京市,,西花市,北京市西花市大街30号,东四清真寺是北京清真寺之一，又名法明寺，在东四南大街，元至正六年(1356年)建成，明正统十二年(1447年)重修，1920年改建。寺坐西朝东，大门3间，建筑面积l万平方米，具有典型的明代建筑特点。,,,,116.426020,39.897220
北京笤帚胡同清真寺,年代不详,北京市,,宣武区,北京市宣武区杨威胡同19号,北京笤帚胡同清真寺位于北京市宣武区杨威胡同19号。修建于明末时期，距今已有500多年的历史，在清朝康熙年间重新缮修，风格别具。原存有蕃人华巴巴手抄本《古兰经》一本，硬木经箱一个。全寺占地面积为1.8亩，大殿建筑面积438平方米，礼拜大殿建筑形式为中国古典形式。寺内有阿旬2名，传授教门和文化。清真寺有教民799户，人口2282人，均系回族。,,,,116.366110,39.912310
北京清真女寺,年代不详,北京市,,宣武区,宣武区寿刘胡同39号,北京清真女寺位于宣武区寿刘胡同39号，为宣武区重点保护文物。,,,,116.366110,39.912310
清河清真寺,公元1881年,北京市,,,京藏高速西侧,清河清真寺位于京藏高速西侧，最早修建在原清河大桥南端。因桥南低洼积水，光绪六年(公元1881年)迁建桥北。原寺院拥有房产、土地现已无从考证。但1951年北京市颁发的《土地房产所有证》统计:清河清真寺房产五十五间，占地三亩九分一厘一毫(约合2607平方米);土地共四段:五拨子十四亩二分(约合9467平方米)、安宁庄大道四亩二分二厘九毫(约合2819平方米)、清河北四亩一分七厘(约合2780平方米)、朱房十亩零七厘五毫(约合6717平方米)。,,,,114.393105,34.054127
北京南下坡清真寺,光绪年间,北京市,,,,南下坡清真寺是北京的清真寺之一，位于朝阳门外南下坡，光绪年间由当地回民集资兴建，距今已有三百多年历史，它是朝外地区仅存古建七座清真寺之一。在古建筑中独具特色。此寺一直为当地回民群众作礼拜之用，也是北京市回民殡葬管理所。,,,,,
北京狼各庄清真寺,清乾隆五年(1740),北京市,,,,狼各庄清真寺位于北京市黄村镇狼各庄村，始建于清乾隆五年(1740)。清光绪二十七年(1901)永定河水患后重修，1936年进行较大规模修缮。现址占地面积2000平米、建筑面积933平米。,,,,,
北京东直门清真寺,年代不详,北京市,,,,东直门清真寺是北京的清真古寺之一，位于东直门外察慈住宅小区内为察慈6号。该寺原在东直门外小街北下关68号，今东湖别墅内，其地原名二里庄，1993年迁建于此。,,,,,
牛街清真寺,年代不详,北京市,,,,北京牛街清真寺，位于广安门内牛街。创建于辽圣宗十三年(966)，宋太宗至道元年(995)、明正统七年(1442)重修。清康熙三十五年(1696)又按原样进行大规模修葺。主要建筑有礼拜殿、梆克楼、望月楼和碑亭等。寺内现存主要建筑均于明清时期修筑，是采用汉族传统建筑形式修建的清真寺的典型实例，是北京规模最大、历史最久的一座清真寺。,,,,,
