Prvn,Pftn,Cont,Longit,Latit,Taotpnm,Fctn
所属省份,所属地级市,所属区县,经度,纬度,道观名称,支派类别
安徽省,安庆市,怀宁县,116.75428,30.546091,灵源观,正一
安徽省,安庆市,宿松县,116.14019,30.306612,云栖宫,全真
安徽省,安庆市,宿松县,116.159943,30.262791,五灵观,全真
安徽省,安庆市,宿松县,116.115829,30.166361,光香宫,全真
安徽省,安庆市,宿松县,116.130432,30.061182,兴龙庵,全真
安徽省,安庆市,宿松县,116.121803,30.028231,净贞宫,全真
安徽省,安庆市,宿松县,115.919479,30.30825,圣心观,全真
安徽省,安庆市,宿松县,116.420029,29.903103,大王庙,全真
安徽省,安庆市,宿松县,116.146278,30.16251,天仙宫,全真
安徽省,安庆市,宿松县,115.919479,30.30825,天台寺,全真
安徽省,安庆市,宿松县,115.930779,30.360981,奉仙观,全真
安徽省,安庆市,宿松县,116.188385,30.326572,愿平宫,全真
安徽省,安庆市,宿松县,116.197601,30.150311,梁储宫,全真
安徽省,安庆市,宿松县,116.16864,30.316702,武圣宫,全真
安徽省,安庆市,宿松县,116.120483,30.368282,水月庵,全真
安徽省,安庆市,宿松县,116.102921,30.29631,灵庵寺,全真
安徽省,安庆市,宿松县,116.026169,30.348711,白云庵,全真
安徽省,安庆市,宿松县,116.227455,30.261753,相公庙,全真
安徽省,安庆市,宿松县,116.178818,30.354221,蔡王宫,全真
安徽省,安庆市,宿松县,115.910759,30.350412,观音庵,全真
安徽省,安庆市,宿松县,115.91407,30.369432,青龙庵,全真
安徽省,安庆市,岳西县,116.000191,30.759483,响鼓坪道观,正一
安徽省,安庆市,岳西县,116.354553,30.760252,汪公庙,正一
安徽省,安庆市,岳西县,116.283218,30.901451,通真观,正一
安徽省,蚌埠市,禹会区,117.253761,32.943752,禹王宫,全真
安徽省,蚌埠市,禹会区,117.341927,32.921089,张公山道教固定活动处所,正一
安徽省,亳州市,涡阳县,116.322113,33.579399,天静宫,全真
安徽省,滁州市,凤阳县,117.825348,32.845959,许真观,全真
安徽省,滁州市,琅琊区,118.30553,32.2948,碧霞宫,全真
安徽省,滁州市,南谯区,118.116539,32.261452,真武观,全真
安徽省,滁州市,全椒县,118.109741,32.112785,太神宫,全真
安徽省,滁州市,天长市,118.855119,32.829851,东岳宫,正一
安徽省,滁州市,天长市,119.051292,32.880142,真武庙,正一
安徽省,合肥市,肥东县,117.556664,31.75946,梅山庙,正一
安徽省,合肥市,肥东县,117.626312,31.796301,泉山道观,正一
安徽省,合肥市,庐江县,117.104332,31.300882,玉虚观,正一
安徽省,淮南市,八公山区,116.734108,32.677071,茅仙洞清天观,全真
安徽省,黄山市,休宁县,118.03653,29.805954,玄天太素宫,正一
安徽省,黄山市,休宁县,118.03653,29.805954,玉虚宫,正一
安徽省,黄山市,休宁县,118.03653,29.805954,真仙洞府,正一
安徽省,黄山市,休宁县,118.03653,29.805954,真武殿,正一
安徽省,六安市,金寨县,115.681023,31.745541,天心观,正一
安徽省,六安市,金寨县,115.697563,31.612438,双河观,正一
安徽省,六安市,金寨县,115.989899,31.523556,洪道观,正一
安徽省,六安市,金寨县,115.719963,31.524012,迎水观,正一
安徽省,六安市,金寨县,115.851624,31.58214,重心观,正一
安徽省,六安市,寿县,116.79248,32.622803,四顶山帝母宫,全真
安徽省,六安市,舒城县,116.95295,31.466503,慈母宫,全真
安徽省,芜湖市,芜湖县,118.644142,31.229351,敏灵观,正一
安徽省,芜湖市,芜湖县,118.520714,31.073622,团坝祠山殿,正一
安徽省,芜湖市,芜湖县,118.550919,31.198961,天宫殿,正一
安徽省,芜湖市,芜湖县,118.544441,31.250971,天曹殿,正一
安徽省,芜湖市,芜湖县,118.644302,31.071821,太子庙,正一
安徽省,芜湖市,芜湖县,118.618622,31.267252,晏公庙,正一
安徽省,芜湖市,芜湖县,118.520714,31.073622,红庙祠山殿,正一
安徽省,芜湖市,芜湖县,118.520714,31.073622,鹤鱼口祠山殿,正一
安徽省,宣城市,广德县,119.609619,31.117149,太极观,全真
安徽省,宣城市,泾县,118.152969,30.485052,幽隐观,正一
安徽省,宣城市,泾县,118.3778,30.661493,金阳宫,全真
安徽省,宣城市,泾县,118.49617,30.728552,龙澍宫,全真
北京市,,昌平区,116.372292,40.250111,城隍庙,正一
北京市,,昌平区,116.082123,40.264591,青龙观,全真
北京市,,朝阳区,116.4441,39.925053,东岳庙,正一
北京市,,房山区,115.896027,39.791382,上英水真武庙,正一
北京市,,房山区,115.732071,39.847252,圣莲山真武庙,全真
北京市,,海淀区,116.086632,40.106552,桃源观,全真
北京市,,平谷区,117.29174,40.196682,药王庙,全真
北京市,,平谷区,117.197227,40.220421,兴隆观,全真
北京市,,平谷区,117.104347,40.267143,龙王庙,全真
北京市,,通州区,116.76265,39.831242,佑民观,全真
北京市,,西城区,116.35747,39.91293,吕祖宫,全真
北京市,,西城区,116.39556,39.93668,火德真君庙,正一
北京市,,西城区,116.343643,39.901009,北京白云观,全真
福建省,福州市,仓山区,119.342819,25.996712,福州乾元张真君殿,正一
福建省,福州市,仓山区,119.3185,26.04555,福州塔亭临水陈太后祖殿,正一
福建省,福州市,仓山区,119.32648,26.03996,福州小巷合堂府,正一
福建省,福州市,仓山区,119.304283,26.04109,福州望北台真武庙,正一
福建省,福州市,仓山区,119.329018,26.046082,福州汉闽越王庙,正一
福建省,福州市,仓山区,119.3172,26.055031,福州洪塘妙峰三帝行台,正一
福建省,福州市,仓山区,119.30497,26.02511,福州白泉庵,正一
福建省,福州市,仓山区,119.30661,25.992092,福州盖山九门局九仙宫,正一
福建省,福州市,仓山区,119.295677,26.00263,福州盘屿劝善庵,正一
福建省,福州市,仓山区,119.296631,26.032383,福州童兴堂,正一
